Alpha_0.1,Alpha_1,Alpha_10,Features
0.7423277001836485,0.7346905305732991,0.6849677319048972,Score
-120.11532494981338,17.824709140523737,-42.455701942880296,Intercept
10.431192336566541,0.8452930819922698,-26.680926982930707,Open Hours
69.26937656129603,71.70052408813957,86.28970399043888,Labour Hours
-0.0,-0.0,-0.0,Holiday_Event_Ash Wednesday
203.16692151992686,0.0,0.0,Holiday_Event_Autumn half term ends
-104.68325667245703,-0.0,0.0,Holiday_Event_Autumn half term starts
1557.3002011149406,1072.3815125746767,0.0,Holiday_Event_Bank holiday
798.1580951473542,0.0,0.0,Holiday_Event_Bank holiday (easter Monday)
-0.0,-0.0,-0.0,Holiday_Event_Christmas Eve
-761.7211885999131,-154.5061705173062,-0.0,Holiday_Event_Diwali
-20.886914194632478,-0.0,-0.0,Holiday_Event_EID
-63.16436090126199,-0.0,-0.0,Holiday_Event_Easter Sunday
-93.73697322256534,-0.0,-0.0,Holiday_Event_Easter holidays end
0.0,-0.0,-0.0,Holiday_Event_Easter holidays start
0.0,0.0,-0.0,Holiday_Event_Eid
198.2786602709757,0.0,0.0,Holiday_Event_England/Wales Christmas holidays end
-117.1939107332966,-0.0,0.0,Holiday_Event_England/Wales Christmas holidays start
-3.0979260168464693,-0.0,-0.0,Holiday_Event_England/Wales Summer holidays start
-93.45936444239904,-0.0,0.0,Holiday_Event_Father's day
11.372916683629139,-0.0,0.0,Holiday_Event_Freshers week starts
-0.0,-0.0,0.0,Holiday_Event_Half term ends
-16.218544934161127,-0.0,-0.0,Holiday_Event_Half term starts
119.18059246796273,0.0,0.0,Holiday_Event_Half term starts Bank holiday
-0.0,-0.0,-0.0,Holiday_Event_Halloween
0.0,-0.0,-0.0,Holiday_Event_International womens day
463.2881048206746,0.0,0.0,Holiday_Event_May day bank holiday
-70.59225496485372,-0.0,-0.0,Holiday_Event_Mother's day
-0.0,-0.0,-0.0,Holiday_Event_NI Bank holiday
501.01909655651235,60.66675601560881,0.0,Holiday_Event_NI Christmas holidays ends
-33.55404326081219,0.0,0.0,Holiday_Event_NI Christmas holidays start
-138.2895494800499,-0.0,0.0,Holiday_Event_NI half term ends
22.71642183970669,0.0,0.0,Holiday_Event_NI half term starts
-83.16270390257516,-0.0,-0.0,Holiday_Event_NI holidays end
212.70071652938148,0.0,-0.0,Holiday_Event_NI holidays start
-0.0,0.0,0.0,Holiday_Event_NI summer holidays start
79.55735116199371,0.0,0.0,"Holiday_Event_NI, England & Wales bank holiday"
-46.85526783797951,-0.0,-0.0,Holiday_Event_New Years Eve
-213.28944939449946,-0.0,-0.0,Holiday_Event_New years day
-5.995756341527619,-29.76168739352091,-0.0,Holiday_Event_None
-59.69226448308259,-0.0,-0.0,Holiday_Event_Ramadan starts
-0.0,-0.0,-0.0,Holiday_Event_ST PATRICKS DAY (NI BHOL)
326.2972437867812,0.0,0.0,Holiday_Event_Scotland Bank holiday
506.73107730725786,0.0,0.0,Holiday_Event_Scotland summer holidays end
0.0,0.0,0.0,Holiday_Event_Scotland summer holidays start
0.0,-0.0,-0.0,Holiday_Event_Scottish Christmas holidays end
231.24218533307138,7.3601552008661235,0.0,Holiday_Event_Scottish Christmas holidays start
535.8360405386996,0.0,0.0,Holiday_Event_Scottish holidays start Bank holiday (good Friday)
-0.0,-0.0,-0.0,Holiday_Event_Shrove Tuesday
124.32419996125108,0.0,0.0,Holiday_Event_Valentines day
-68.28319119579926,-0.0,-0.0,Holiday_Event_World book day
0.0,75.17267328218142,0.0,Holiday_Period_All School hols
14.180995738308429,0.0,0.0,Holiday_Period_Bank Holiday
-1109.6480690707524,-715.3501705475113,0.0,Holiday_Period_Christmas
-116.17503616054294,-0.0,-0.0,Holiday_Period_Easter
-99.77240501970051,-225.30445827807392,-0.0,Holiday_Period_Halloween
166.3873581428938,252.26777803270335,0.0,Holiday_Period_Halloween - School
577.7069707186154,197.63398319983654,0.0,Holiday_Period_NI School hols
121.69936563852885,-0.0,-0.0,Holiday_Period_NI/England/Wales School hols
-0.0,4.188797699350254,0.0,Holiday_Period_NI/Scot school hols
-236.37428186855232,-275.30557339451735,-167.98840182219757,Holiday_Period_None
168.06098667576353,176.31390709838158,67.50746117487186,Holiday_Period_School hols
-199.2836152706252,-159.46491653061457,-0.0,Holiday_Period_Scotland School hols
-138.1158767428929,-61.78660390789536,-0.0,Holiday_Period_St Patricks
48.55766270870412,0.0,-0.0,Holiday_Period_Valentines
-0.0,-0.0,-0.0,Promo_CC & Lic
-65.16350296667684,-0.0,0.0,Promo_ES342
0.0,0.0,0.0,Promo_ESB3G2
134.6584529570661,224.42578747429076,284.30844118606893,Promo_ESB3G3
15.212660670773639,-167.80473272671634,-0.0,Promo_Ears 342
-60.51120278123679,-25.20742696906787,-0.0,Promo_Ears 342 & RBJ BOG50% & Plush BOG50%
-102.25535926306165,-300.60682284924326,-0.0,Promo_Ears 342 & RBJ BOGO50%
-87.0992056408542,-20.734347674963438,0.0,Promo_Ears 342 / Hair 342
0.0,37.777863380925375,0.0,Promo_Hair & Ears 342
-0.0,0.1965226791868196,0.0,Promo_Hair & Jwly 342
67.97061047231463,60.47668746037981,0.0,Promo_Hair & Jwly B3G2
0.0,0.0,0.0,Promo_Hair 342
41.25285029068367,10.687812426612567,0.0,Sales_Promo_342
-75.73864078679698,-38.03388166254329,-64.62142648800962,Sales_Promo_345
44.886200648373574,-25.357637072116077,0.0,Sales_Promo_545
212.95208876279554,0.0,0.0,Sales_Promo_10 FOR 5
-19.138045205338248,0.0,0.0,Sales_Promo_342 / BOGOF
-68.7593784326668,-147.85764937025561,-109.11190814527636,Sales_Promo_75% OFF
162.67523001352382,48.477951605419086,45.361036852112555,Sales_Promo_75% Off
0.0,10.213446562633512,0.0,Sales_Promo_B3G3
-199.59428377411467,-172.92149964284937,-0.0,Sales_Promo_€2 DOT
-65.26071680225873,-14.972964658536428,-0.0,Cluster_0
0.044303331872400854,0.14787116969690622,0.0,Cluster_1
675.5472592090006,650.6780970213717,420.31464704496506,Cluster_2
-235.19784681290045,-228.52317819315516,-170.87605810808913,Cluster_3
-136.66652487736488,-97.83070880565622,-27.75250621730033,Day_of_Week_0
-107.05586943573782,-98.94841258785974,-30.763565610544138,Day_of_Week_1
-59.99370258944653,-62.69491278283835,-0.0,Day_of_Week_2
-0.0,-0.0,-0.0,Day_of_Week_3
160.94539502764962,157.9201520650139,79.34098321168649,Day_of_Week_4
906.4891644081985,860.1430739197584,666.4195227272301,Day_of_Week_5
389.44364588985377,328.8031871044872,155.29391249389073,Day_of_Week_6
17.86476181566052,0.0,0.0,Week_Num_1
-28.66037178742683,-0.0,-0.0,Week_Num_2
-0.0,-0.0,-0.0,Week_Num_3
-13.74604056767076,-0.0,-0.0,Week_Num_4
-57.74086903390972,-0.0,-0.0,Week_Num_5
-368.920968479195,-334.2078886756651,-0.0,Week_Num_6
-230.16885505729746,-0.0,0.0,Week_Num_7
9.16804706841136,-0.0,-0.0,Week_Num_8
-27.310828425158704,-37.645083352771124,-0.0,Week_Num_9
-148.3890913300951,-132.5367811977333,-0.0,Week_Num_10
-86.51513916043183,-45.83739534722759,-0.0,Week_Num_11
-0.0,-0.0,-0.0,Week_Num_12
-423.59416265867617,-72.57453065459936,-0.0,Week_Num_13
-74.98756985303643,0.0,-0.0,Week_Num_14
-211.3618449674376,-76.96935884457474,-0.0,Week_Num_15
-9.025025371371564,-0.0,-0.0,Week_Num_16
95.09921042086336,0.0,0.0,Week_Num_17
0.0,0.0,-0.0,Week_Num_18
32.25078887113134,-0.0,-0.0,Week_Num_19
78.5263000906317,0.0,0.0,Week_Num_20
186.8692619222252,109.21103299279791,0.0,Week_Num_21
119.52026377679789,41.22992113776623,0.0,Week_Num_22
89.85389149170389,0.0,0.0,Week_Num_23
90.34690571096576,0.0,0.0,Week_Num_24
95.20249232578988,0.33094087680685386,0.0,Week_Num_25
137.43624235873534,42.648221157143404,0.0,Week_Num_26
11.523123843838123,0.0,0.0,Week_Num_27
-0.0,-0.0,0.0,Week_Num_28
0.0,-0.0,0.0,Week_Num_29
216.41921388262188,75.26697376429087,0.0,Week_Num_30
117.81412192905088,0.0,0.0,Week_Num_31
-135.63296107639306,-0.22483480093765992,-0.0,Week_Num_32
-135.8019429431482,-40.222454450987854,-0.0,Week_Num_33
-25.03315467078329,0.0,0.0,Week_Num_34
0.0,0.0,0.0,Week_Num_35
88.28253575916617,71.02574882070597,0.0,Week_Num_36
-14.068652982824503,-0.0,-0.0,Week_Num_37
-53.056294840323815,-0.0,-0.0,Week_Num_38
-62.463648758651246,-0.0,-0.0,Week_Num_39
-81.25755015558424,-13.47987046866423,-0.0,Week_Num_40
-232.87353724153166,-170.7054260156845,-0.0,Week_Num_41
-247.7216566488369,-112.76907789392608,-0.0,Week_Num_42
264.6934777468664,67.83725874574846,0.0,Week_Num_43
-214.94831193973337,-139.35341356908594,-0.0,Week_Num_44
-68.21328910743392,-0.0,-0.0,Week_Num_45
0.0,0.0,-0.0,Week_Num_46
131.4555932948764,86.36927063793898,0.0,Week_Num_47
278.5011801080312,229.80930595364902,0.0,Week_Num_48
471.95344754493556,419.36791005879627,0.0,Week_Num_49
599.1232423143798,540.4354064656796,0.0,Week_Num_50
917.1744892272941,724.7471195670571,55.56779328019586,Week_Num_51
790.933081766694,559.6296526854812,69.8840900655866,Week_Num_52
