Waterfall Category,Category,Sum of USD Avg. Store Daily Sales
B3G3,B3G3, $(24.75)
,B3G3_secret_sale, $83.72 
B3G3 Total,, $58.97 
Base,Base, $(494.71)
,Day of Week, $283.90 
,Labor, $954.29 
,Operating Hours, $444.50 
Base Total,," $1,187.98 "
CLX,CLX, $138.74 
CLX Total,, $138.74 
Holiday/Seasonality,Holiday, $81.36 
,Seasonality, $(419.35)
Holiday/Seasonality Total,, $(337.99)
Other Promo,ES342, $(63.78)
,Other Promo, $(5.42)
Other Promo Total,, $(69.20)
Weather,Weather, $415.01 
Weather Total,, $415.01 
Grand Total,," $1,393.51 "
